path,title,title_length,description,desc_length,h1,multiple_h1,h2_count,word_count,lang,canonical,hreflang,has_viewport,charset,has_robots_meta,has_og_tags,has_twitter_cards,has_schema,has_favicon,internal_links,external_links,broken_links,images,missing_alt_images,poor_alt_images,broken_images,has_language_switcher,keyword_densities,has_https,has_structured_data_errors,content_size_kb,missing_image_dimensions,has_lazy_loading
404.html,Page not found | Immigrate to Brazil,36,"Immigration guidance, visas, residency, and relocation support for Brazil.",74,404 – Page not found,False,45,8978,en,https://www.immigratetobrazil.com/404,"en,es,pt",True,utf-8,True,True,True,True,True,600,28,,46,0,0,,True,"{""immigrate to brazil"": 0.01, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,False,166.96,46,True
about/about-states/about-alagoas.html,About Alagoas | Immigrate to Brazil,35,"Overview of Alagoas for newcomers, with planning tips and immigration resources.",80,Everything About Alagoas,False,44,1587,en,https://www.immigratetobrazil.com/about/about-states/about-alagoas,"en,es,pt",True,utf-8,True,True,True,True,True,17,5,,14,0,0,,True,"{""immigrate to brazil"": 0.0, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,43.03,14,True
about/index.html,About us | Immigrate to Brazil,30,"Immigration guidance, visas, residency, and relocation support for Brazil.",74,About Immigrate to Brazil,False,45,8765,en,https://www.immigratetobrazil.com/about/,"en,es,pt",True,utf-8,True,True,True,True,True,602,27,,46,0,0,,True,"{""immigrate to brazil"": 2.18, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,167.72,46,True
about/about-states/about-espirito-santo.html,About Espírito Santo | Immigrate to Brazil,42,"Overview of Espírito Santo for newcomers, with planning tips and immigration resources.",87,Everything About Espírito Santo,False,44,1597,en,https://www.immigratetobrazil.com/about/about-states/about-espirito-santo,"en,es,pt",True,utf-8,True,True,True,True,True,17,5,,14,0,0,,True,"{""immigrate to brazil"": 0.0, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,46.02,14,True
about/about-states/about-ceara.html,About Ceará | Immigrate to Brazil,33,"Overview of Ceará for newcomers, with planning tips and immigration resources.",78,Everything About Ceará,False,44,1609,en,https://www.immigratetobrazil.com/about/about-states/about-ceara,"en,es,pt",True,utf-8,True,True,True,True,True,17,5,,14,0,0,,True,"{""immigrate to brazil"": 0.0, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,45.58,14,True
about/about-states/about-santa-catarina.html,About Santa Catarina | Immigrate to Brazil,42,"Overview of Santa Catarina for newcomers, with planning tips and immigration resources.",87,Everything About Santa Catarina,False,44,1593,en,https://www.immigratetobrazil.com/about/about-states/about-santa-catarina,"en,es,pt",True,utf-8,True,True,True,True,True,17,5,,14,0,0,,True,"{""immigrate to brazil"": 0.0, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,46.06,14,True
about/about-states/about-rio-grande-do-sul.html,About Rio Grande do Sul | Immigrate to Brazil,45,"Overview of Rio Grande do Sul for newcomers, with planning tips and immigration resources.",90,Everything About Rio Grande do Sul,False,44,1657,en,https://www.immigratetobrazil.com/about/about-states/about-rio-grande-do-sul,"en,es,pt",True,utf-8,True,True,True,True,True,17,5,,14,0,0,,True,"{""immigrate to brazil"": 0.0, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,46.29,14,True
about/about-states/about-para.html,About Pará | Immigrate to Brazil,32,"Overview of Pará for newcomers, with planning tips and immigration resources.",77,Everything About Pará,False,44,1565,en,https://www.immigratetobrazil.com/about/about-states/about-para,"en,es,pt",True,utf-8,True,True,True,True,True,17,5,,14,0,0,,True,"{""immigrate to brazil"": 0.0, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,45.12,14,True
about/about-states/about-acre.html,About Acre | Immigrate to Brazil,32,"Overview of Acre for newcomers, with planning tips and immigration resources.",77,Everything About Acre,False,44,1628,en,https://www.immigratetobrazil.com/about/about-states/about-acre,"en,es,pt",True,utf-8,True,True,True,True,True,17,5,,14,0,0,,True,"{""immigrate to brazil"": 0.0, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,42.88,14,True
about/about-states/about-distrito-federal.html,About Distrito Federal | Immigrate to Brazil,44,"Overview of Distrito Federal for newcomers, with planning tips and immigration resources.",89,Everything About Distrito Federal,False,44,1616,en,https://www.immigratetobrazil.com/about/about-states/about-distrito-federal,"en,es,pt",True,utf-8,True,True,True,True,True,17,5,,14,0,0,,True,"{""immigrate to brazil"": 0.0, ""brazil visa"": 0.0, ""brazil immigration"": 0.0}",True,True,46.47,14,True
