url,file,status,final_url,indexability,robots,x_robots,canonical,google_selected_canonical,page_type,language,title,h1,description,purpose,main_words,internal_in,internal_out,click_depth,sitemap,performance,apparent_topic,action,evidence
https://immigratetobrazil.com/,index.html,200,https://immigratetobrazil.com/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com,NOT PROVIDED,home,en,"Brazil Immigration Attorney for Visas, Residency and Citizenship | Immigrate to Brazil",Immigrate to Brazil With Attorney Monique Fernandes,"Brazil immigration attorney Monique Fernandes helps international clients with Brazil visas, residency, permanent residence, citizenship, naturalisation, family immigration, digital nomad, investor, work, study, retiree, and immigration defence matters.",Brazil Is More Than a Destination,2607,35,34,0,True,NOT PROVIDED,"Brazil Immigration Attorney for Visas, Residency and Citizenship",OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/404.html,404.html,200,https://immigratetobrazil.com/404,NOINDEX,"noindex,follow",,https://immigratetobrazil.com/legal/404/,NOT PROVIDED,404.html,en,Page Not Found | Monique Fernandes | Immigrate to Brazil,Page Not Found,"This page helps you get back to the right Monique Fernandes page if a legal notice, service page, or consultation route cannot be found.",A missing page does not necessarily mean the topic is gone.,408,0,8,UNREACHED IN RAW HTML,False,NOT PROVIDED,Page Not Found,NOINDEX,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/about/,about/index.html,200,https://immigratetobrazil.com/about/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com/about/,NOT PROVIDED,about,en,About Monique Fernandes | Brazil Immigration Attorney | Immigrate to Brazil,About Monique,"Explore the pages that introduce Monique Fernandes, explain how her Brazil immigration practice works, and show what clients can expect before booking.",This hub is the map to Monique Fernandes' immigration practice.,871,1,14,2,True,NOT PROVIDED,About Monique Fernandes,OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/about/about/,about/about/index.html,200,https://immigratetobrazil.com/about/about/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com/about/about/,NOT PROVIDED,about,en,Meet Monique Fernandes | Brazil Immigration Attorney | Immigrate to Brazil,Meet Monique Fernandes,"Monique Fernandes is the Brazilian immigration attorney behind Immigrate to Brazil, helping clients navigate Brazilian immigration law with greater clarity, confidence, and practical next steps.",About,844,13,5,1,True,NOT PROVIDED,Meet Monique Fernandes,OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/about/atlas/,about/atlas/index.html,200,https://immigratetobrazil.com/about/atlas/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com/about/atlas/,NOT PROVIDED,about,en,Monique Fernandes Atlas | Brazil Immigration Attorney | Immigrate to Brazil,About Monique Fernandes,"Meet Monique Fernandes, the OAB-registered Brazilian immigration attorney behind Immigrate to Brazil, and explore her story, standards, services, and public client proof in one place.",About,2481,2,17,2,True,NOT PROVIDED,Monique Fernandes Atlas,OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/about/clients/,about/clients/index.html,200,https://immigratetobrazil.com/about/clients/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com/about/clients/,NOT PROVIDED,about,en,Who Monique Fernandes Helps | Brazil Immigration Clients | Immigrate to Brazil,Who Monique Fernandes Helps,"Monique Fernandes works with immigrants, families, companies, entrepreneurs, remote professionals, and cross-border clients who need attorney-led guidance for Brazil-related immigration decisions.",Overview,848,10,5,2,True,NOT PROVIDED,Who Monique Fernandes Helps,OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/about/ethics/,about/ethics/index.html,200,https://immigratetobrazil.com/about/ethics/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com/about/ethics/,NOT PROVIDED,about,en,Monique Fernandes Ethics | Brazil Immigration Practice | Immigrate to Brazil,Ethics,"Monique Fernandes grounds her immigration practice in honesty, confidentiality, dignity, and clear professional boundaries.",Ethics is not a side note in Monique Fernandes' practice; it is part of how the work is done.,676,6,5,2,True,NOT PROVIDED,Monique Fernandes Ethics,OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/about/lawyer/,about/lawyer/index.html,200,https://immigratetobrazil.com/about/lawyer/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com/about/lawyer/,NOT PROVIDED,about,en,Monique Fernandes | OAB/BAR Registered Attorney | Immigrate to Brazil,Lawyer,"A formal look at Monique Fernandes' legal profile, professional responsibility, and immigration-first approach for clients who need attorney-led guidance connected to Brazil.","Monique Fernandes is a Brazilian immigration attorney handling matters that require legal judgment, structure, and accountability.",700,38,5,2,True,NOT PROVIDED,Monique Fernandes,OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/about/mission/,about/mission/index.html,200,https://immigratetobrazil.com/about/mission/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com/about/mission/,NOT PROVIDED,about,en,Monique Fernandes Mission | Empowering Immigrants in Brazil | Immigrate to Brazil,Mission,"Monique Fernandes' mission is to empower immigrants with clear legal guidance, protect dignity through lawful process, and promote Brazil with honesty and care.",Monique's mission is visible in both her language and her legal method.,701,9,5,2,True,NOT PROVIDED,Monique Fernandes Mission,OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
https://immigratetobrazil.com/about/philosophy/,about/philosophy/index.html,200,https://immigratetobrazil.com/about/philosophy/,POTENTIALLY INDEXABLE; Google state unavailable,"index,follow",,https://immigratetobrazil.com/about/philosophy/,NOT PROVIDED,about,en,Monique Fernandes Philosophy | Brazil Immigration Practice | Immigrate to Brazil,Philosophy,"Monique Fernandes builds immigration strategy around clarity before action, structure before speed, and documentation that supports the route.",Monique's philosophy is the operating logic behind the practice.,678,5,5,2,True,NOT PROVIDED,Monique Fernandes Philosophy,OPTIMIZE,OBSERVED HTTP and HTML; INFERENCE topic/action
