url,page_file,status,action,priority,metadata,schema,factual_review,deployment
https://immigratetobrazil.com/,pages/0001-home.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0001-home.html,schema/0001-home.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/404.html,pages/0002-404.html.md,UTILITY — preserve noindex,NOINDEX,P3,metadata/0002-404.html.html,schema/0002-404.html.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/,pages/0003-about.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0003-about.html,schema/0003-about.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/about/,pages/0004-about--about.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0004-about--about.html,schema/0004-about--about.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/atlas/,pages/0005-about--atlas.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0005-about--atlas.html,schema/0005-about--atlas.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/clients/,pages/0006-about--clients.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0006-about--clients.html,schema/0006-about--clients.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/ethics/,pages/0007-about--ethics.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0007-about--ethics.html,schema/0007-about--ethics.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/lawyer/,pages/0008-about--lawyer.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0008-about--lawyer.html,schema/0008-about--lawyer.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/mission/,pages/0009-about--mission.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0009-about--mission.html,schema/0009-about--mission.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/philosophy/,pages/0010-about--philosophy.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0010-about--philosophy.html,schema/0010-about--philosophy.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/profile/,pages/0011-about--profile.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0011-about--profile.html,schema/0011-about--profile.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/results/,pages/0012-about--results.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0012-about--results.html,schema/0012-about--results.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/stories/,pages/0013-about--stories.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0013-about--stories.html,schema/0013-about--stories.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/story/,pages/0014-about--story.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0014-about--story.html,schema/0014-about--story.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/testimonials/,pages/0015-about--testimonials.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0015-about--testimonials.html,schema/0015-about--testimonials.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/values/,pages/0016-about--values.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0016-about--values.html,schema/0016-about--values.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/about/whyus/,pages/0017-about--whyus.md,DRAFT — editorial review required,OPTIMIZE,P1,metadata/0017-about--whyus.html,schema/0017-about--whyus.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/,pages/0018-brazil.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0018-brazil.html,schema/0018-brazil.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/brazil/,pages/0019-brazil--brazil.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0019-brazil--brazil.html,schema/0019-brazil--brazil.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/central-west/,pages/0020-brazil--central-west.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0020-brazil--central-west.html,schema/0020-brazil--central-west.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/,pages/0021-brazil--cities.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0021-brazil--cities.html,schema/0021-brazil--cities.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/aracaju/,pages/0022-brazil--cities--aracaju.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0022-brazil--cities--aracaju.html,schema/0022-brazil--cities--aracaju.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/belem/,pages/0023-brazil--cities--belem.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0023-brazil--cities--belem.html,schema/0023-brazil--cities--belem.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/belo-horizonte/,pages/0024-brazil--cities--belo-horizonte.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0024-brazil--cities--belo-horizonte.html,schema/0024-brazil--cities--belo-horizonte.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/boa-vista/,pages/0025-brazil--cities--boa-vista.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0025-brazil--cities--boa-vista.html,schema/0025-brazil--cities--boa-vista.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/brasilia/,pages/0026-brazil--cities--brasilia.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0026-brazil--cities--brasilia.html,schema/0026-brazil--cities--brasilia.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/campinas/,pages/0027-brazil--cities--campinas.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0027-brazil--cities--campinas.html,schema/0027-brazil--cities--campinas.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/campo-grande/,pages/0028-brazil--cities--campo-grande.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0028-brazil--cities--campo-grande.html,schema/0028-brazil--cities--campo-grande.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/cuiaba/,pages/0029-brazil--cities--cuiaba.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0029-brazil--cities--cuiaba.html,schema/0029-brazil--cities--cuiaba.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/curitiba/,pages/0030-brazil--cities--curitiba.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0030-brazil--cities--curitiba.html,schema/0030-brazil--cities--curitiba.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/florianopolis/,pages/0031-brazil--cities--florianopolis.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0031-brazil--cities--florianopolis.html,schema/0031-brazil--cities--florianopolis.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/fortaleza/,pages/0032-brazil--cities--fortaleza.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0032-brazil--cities--fortaleza.html,schema/0032-brazil--cities--fortaleza.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/goiania/,pages/0033-brazil--cities--goiania.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0033-brazil--cities--goiania.html,schema/0033-brazil--cities--goiania.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/gramado/,pages/0034-brazil--cities--gramado.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0034-brazil--cities--gramado.html,schema/0034-brazil--cities--gramado.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/joao-pessoa/,pages/0035-brazil--cities--joao-pessoa.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0035-brazil--cities--joao-pessoa.html,schema/0035-brazil--cities--joao-pessoa.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/macapa/,pages/0036-brazil--cities--macapa.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0036-brazil--cities--macapa.html,schema/0036-brazil--cities--macapa.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/maceio/,pages/0037-brazil--cities--maceio.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0037-brazil--cities--maceio.html,schema/0037-brazil--cities--maceio.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/manaus/,pages/0038-brazil--cities--manaus.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0038-brazil--cities--manaus.html,schema/0038-brazil--cities--manaus.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/natal/,pages/0039-brazil--cities--natal.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0039-brazil--cities--natal.html,schema/0039-brazil--cities--natal.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/niteroi/,pages/0040-brazil--cities--niteroi.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0040-brazil--cities--niteroi.html,schema/0040-brazil--cities--niteroi.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/palmas/,pages/0041-brazil--cities--palmas.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0041-brazil--cities--palmas.html,schema/0041-brazil--cities--palmas.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/porto-alegre/,pages/0042-brazil--cities--porto-alegre.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0042-brazil--cities--porto-alegre.html,schema/0042-brazil--cities--porto-alegre.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/porto-velho/,pages/0043-brazil--cities--porto-velho.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0043-brazil--cities--porto-velho.html,schema/0043-brazil--cities--porto-velho.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/recife/,pages/0044-brazil--cities--recife.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0044-brazil--cities--recife.html,schema/0044-brazil--cities--recife.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/ribeirao-preto/,pages/0045-brazil--cities--ribeirao-preto.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0045-brazil--cities--ribeirao-preto.html,schema/0045-brazil--cities--ribeirao-preto.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/rio-branco/,pages/0046-brazil--cities--rio-branco.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0046-brazil--cities--rio-branco.html,schema/0046-brazil--cities--rio-branco.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/rio-de-janeiro/,pages/0047-brazil--cities--rio-de-janeiro.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0047-brazil--cities--rio-de-janeiro.html,schema/0047-brazil--cities--rio-de-janeiro.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/salvador/,pages/0048-brazil--cities--salvador.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0048-brazil--cities--salvador.html,schema/0048-brazil--cities--salvador.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/santos/,pages/0049-brazil--cities--santos.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0049-brazil--cities--santos.html,schema/0049-brazil--cities--santos.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/sao-luis/,pages/0050-brazil--cities--sao-luis.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0050-brazil--cities--sao-luis.html,schema/0050-brazil--cities--sao-luis.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/sao-paulo/,pages/0051-brazil--cities--sao-paulo.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0051-brazil--cities--sao-paulo.html,schema/0051-brazil--cities--sao-paulo.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/teresina/,pages/0052-brazil--cities--teresina.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0052-brazil--cities--teresina.html,schema/0052-brazil--cities--teresina.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cities/vitoria/,pages/0053-brazil--cities--vitoria.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0053-brazil--cities--vitoria.html,schema/0053-brazil--cities--vitoria.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cost/,pages/0054-brazil--cost.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0054-brazil--cost.html,schema/0054-brazil--cost.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/cuisine/,pages/0055-brazil--cuisine.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0055-brazil--cuisine.html,schema/0055-brazil--cuisine.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/culture/,pages/0056-brazil--culture.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0056-brazil--culture.html,schema/0056-brazil--culture.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/directory/,pages/0057-brazil--directory.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0057-brazil--directory.html,schema/0057-brazil--directory.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/economy/,pages/0058-brazil--economy.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0058-brazil--economy.html,schema/0058-brazil--economy.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/education/,pages/0059-brazil--education.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0059-brazil--education.html,schema/0059-brazil--education.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/events/,pages/0060-brazil--events.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0060-brazil--events.html,schema/0060-brazil--events.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/faqs/,pages/0061-brazil--faqs.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0061-brazil--faqs.html,schema/0061-brazil--faqs.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/festivals/,pages/0062-brazil--festivals.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0062-brazil--festivals.html,schema/0062-brazil--festivals.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/guides/,pages/0063-brazil--guides.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0063-brazil--guides.html,schema/0063-brazil--guides.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/healthcare/,pages/0064-brazil--healthcare.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0064-brazil--healthcare.html,schema/0064-brazil--healthcare.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/housing/,pages/0065-brazil--housing.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0065-brazil--housing.html,schema/0065-brazil--housing.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/investment/,pages/0066-brazil--investment.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0066-brazil--investment.html,schema/0066-brazil--investment.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/living/,pages/0067-brazil--living.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0067-brazil--living.html,schema/0067-brazil--living.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/municipalities/,pages/0068-brazil--municipalities.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0068-brazil--municipalities.html,schema/0068-brazil--municipalities.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/north/,pages/0069-brazil--north.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0069-brazil--north.html,schema/0069-brazil--north.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/northeast/,pages/0070-brazil--northeast.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0070-brazil--northeast.html,schema/0070-brazil--northeast.json,CHECK EXISTING CLAIMS,NOT APPLIED
https://immigratetobrazil.com/brazil/places/,pages/0071-brazil--places.md,DRAFT — editorial review required,OPTIMIZE,P2,metadata/0071-brazil--places.html,schema/0071-brazil--places.json,CHECK EXISTING CLAIMS,NOT APPLIED
